artwork_number,material_code,subject_armenian,subject_english,width_cm,height_cm,year
1,CO,յասաման,lilac,80,90,
2,CO,ծիրանի ծառեր,apricot trees,72,60,1998
3,CO,ծաղկեփունջ,bouquet,75,85,2019
4,CO,ձմռան ծառ,winter tree,65,85,2005
5,CO,ծաղիկներ,flowers,50,55,
6,CO,ծաղիկներ,flowers,50,55,
7,CO,անձրևոտ գարուն,rainy spring,50,70,
8,CO,դեղին աբստրակտ,yellow abstract,56,45,
9,CO,աղջկա դիմանկար,girl portrait,50,40,
10,CO,ծաղկած ծառեր,blossoming trees,70,60,2021
11,CO,ժայռեր,cliffs,85,70,
12,CO,գետ,river,85,70,
13,CO,գիշեր,night,88,78,
14,CO,մոլորակ,planet,77,62,
15,CO,բնանկար,landscape,85,60,1985
16,CO,Վայոց ձորյան լեռներ,Vayots Dzor mountains,85,70,
17,CO,Եղեգիս,Yeghegis,15,80,1979
18,CO,ծաղիկներ,flowers,110,90,
19,CO,ծաղիկներ,flowers,15,80,2021
20,CO,ծաղիկներ,flowers,60,70,2022
21,CO,ֆիգուրա բարելեֆ,figure relief,,,
22,CO,ֆիգուրա բարելեֆ,figure relief,25,60,
23,CO,ֆիգուրա բարելեֆ,figure relief,25,60,
24,CO,ֆիգուրա բարելեֆ,figure relief,25,60,
25,WO,ֆիգուրա բարելեֆ,figure relief,30,50,
