artwork_number,new_filename,original_filename,material_code,subject_english,subject_armenian,width_cm,height_cm,year,category
1,Canvas-Oil-80x90_floral.jpg,IMG_5295.jpg,CO,lilac,յասաման,80,90,,floral
2,Canvas-Oil-72x60-1998_landscape.jpg,IMG_5296.jpg,CO,apricot trees,ծիրանի ծառեր,72,60,1998,landscape
3,Canvas-Oil-75x85-2019_floral.jpg,IMG_5297.jpg,CO,bouquet,ծաղկեփունջ,75,85,2019,floral
4,Canvas-Oil-65x85-2005_landscape.jpg,IMG_5298.jpg,CO,winter tree,ձմռան ծառ,65,85,2005,landscape
5,Canvas-Oil-50x55_floral-a.jpg,IMG_5299.jpg,CO,flowers,ծաղիկներ,50,55,,floral
6,Canvas-Oil-50x55_floral-b.jpg,IMG_5300.jpg,CO,flowers,ծաղիկներ,50,55,,floral
7,Canvas-Oil-50x70_landscape.jpg,IMG_5301.jpg,CO,rainy spring,անձրևոտ գարուն,50,70,,landscape
8,Canvas-Oil-56x45_abstract.jpg,IMG_5302.jpg,CO,yellow abstract,դեղին աբստրակտ,56,45,,abstract
9,Canvas-Oil-50x40_portrait.jpg,IMG_5303.jpg,CO,girl portrait,աղջկա դիմանկար,50,40,,portrait
10,Canvas-Oil-70x60-2021_landscape.jpg,IMG_5306.jpg,CO,blossoming trees,ծաղկած ծառեր,70,60,2021,landscape
11,Canvas-Oil-85x70_landscape-a.jpg,IMG_5307.jpg,CO,cliffs,ժայռեր,85,70,,landscape
12,Canvas-Oil-85x70_landscape-b.jpg,IMG_5308.jpg,CO,river,գետ,85,70,,landscape
13,Canvas-Oil-88x78_landscape.jpg,IMG_5309.jpg,CO,night,գիշեր,88,78,,landscape
14,Canvas-Oil-77x62_abstract.jpg,IMG_5310.jpg,CO,planet,մոլորակ,77,62,,abstract
15,Canvas-Oil-85x60-1985_landscape.jpg,IMG_5311.jpg,CO,landscape,բնանկար,85,60,1985,landscape
16,Canvas-Oil-85x70_landscape-c.jpg,IMG_5312.jpg,CO,Vayots Dzor mountains,Վայոց ձորյան լեռներ,85,70,,landscape
17,Canvas-Oil-15x80-1979_landscape.jpg,IMG_5313.jpg,CO,Yeghegis,Եղեգիս,100,80,1979,landscape
18,Canvas-Oil-110x90_floral.jpg,IMG_5314.jpg,CO,flowers,ծաղիկներ,110,90,,floral
19,Canvas-Oil-15x80-2021_floral.jpg,IMG_5315.jpg,CO,flowers,ծաղիկներ,100,80,2021,floral
20,Canvas-Oil-60x70-2022_floral.jpg,IMG_5316.jpg,CO,flowers,ծաղիկներ,60,70,2022,floral
21,21-seated-figures.jpg,IMG_5317.jpg,CO,figure relief,ֆիգուրա բարելեֆ,,,,figure
22,Canvas-Oil-25x60_figure-a.jpg,IMG_5318.jpg,CO,figure relief,ֆիգուրա բարելեֆ,25,60,,figure
23,Canvas-Oil-25x60_figure-b.jpg,IMG_5319.jpg,CO,figure relief,ֆիգուրա բարելեֆ,25,60,,figure
24,Canvas-Oil-25x60_figure-c.jpg,IMG_5320.jpg,CO,figure relief,ֆիգուրա բարելեֆ,25,60,,figure
25,Wood-Oil-30x50_figure.jpg,IMG_5321.jpg,WO,figure relief,ֆիգուրա բարելեֆ,30,50,,figure
